 1,6   1691376 
 2,0   1708516 
 2,2   1693696 
 2,1   1695200 
 1,9   1696764 
1,28   2174712 
1,82   2176488 
1,10   2186576 
1,22   2188452 
1,04   2190960 
1,87   2348804 
1,53   2367352 
1,96   2389360 
1,33   2432480 
1,83   2383248 
1,83   2384868 
1,83   2394324 
1,85   2400060 
1,85   2408748 
1,87   2404372 
1,97   2406324 
1,97   2409300 
1,97   2410672 
1,90   2411872 
1,09   1606156 
1,14   1609816 
 1,8   1799728 
 1,8   1801596 
: 1,   1925892 
: 1,   1931752 
: 1,   1933388 
: 1,   1935024 
: 1,   1936660 
: 1,   1938420 
: 1,   1940172 
: 1,   1943864 
: 1,   1945516 
: 1,   1947532 
 1,3   1636888 
 1,5   1639760 
 1,5   1649800 
 1,5   1651420 
 1,5   1653988 
